route,routes_trained_on,intercept,hour,temp,precip,snow,windspeed,fenway_event,garden_event,r_squared,mse,rmse
"('70001', '70011')",636,590.3766097430301,-2.481959275702067,0.6768575986521403,10.562189428393843,0.0,0.9225420158641064,0.0,3.8084553555222653,0.0014426232673594441,4951.748515848343,70.36866146125236
"('70001', '70013')",636,683.7976828721168,-1.8826141638016274,0.3628141509830156,12.338890252300386,0.0,-1.7852647261482115,0.0,5.089253319417718,0.007820650857150668,5498.800923237829,74.15390025641152
"('70001', '70015')",636,814.2399553622226,-2.415298377766644,0.9637102485410365,12.6469160688387,0.0,-3.515776639867266,0.0,7.800958716918824,0.001811436565396174,6033.211110294294,77.67374788365947
"('70001', '70017')",637,984.2174830274588,-1.8636361209178416,6.746353406800301,11.27561519673299,7.460698725481052e-14,-8.47266763117267,0.0,19.189138644485837,-0.0250197409786439,19525.995994372264,139.73545002744387
"('70001', '70019')",635,1073.179964789671,-5.9686710384973285,5.210459841082603,10.07789981431415,8.881784197001252e-16,-6.019608207435347,0.0,21.360694485844007,-0.015935780157589896,17996.22114994789,134.14999496812473
"('70001', '70021')",637,1196.1608947812344,-5.403610506248925,-1.5214782545784349,11.799884040805352,1.5543122344752192e-13,-9.63119865094978,0.0,29.06853859907261,-0.022705245952854947,26559.249972686634,162.97008919641246
"('70001', '70023')",636,1357.4082930128702,-55.00153971676686,11.282857944107139,41.089241479523224,-1.0658141036401503e-14,-11.818307730922918,0.0,30.035740960145723,0.04426832847539752,73048.28027387668,270.27445360943136
"('70001', '70025')",637,1464.1150551448425,-64.09502021969243,18.124042524886256,41.742152308435124,-1.7763568394002505e-14,-8.445027317216066,0.0,27.73873093367832,0.041533644100344436,58950.11369072462,242.7964449713476
"('70001', '70027')",637,1556.960141657605,-65.58500098613125,12.288683020908813,38.38554323058163,2.4868995751603507e-14,-6.845191696630575,0.0,31.206931773861818,0.040199705878105396,60298.23362785593,245.5569865181114
"('70001', '70029')",637,1744.6767983362577,-64.46564630941684,25.645664920390857,38.41883339607656,1.7763568394002505e-14,-5.8523687781282945,0.0,36.8620226247166,0.02063423263217623,62310.98129522937,249.62167633286452
"('70001', '70031')",638,2026.5356863196428,-65.77955072526709,28.864584899980052,35.27569641024289,-3.552713678800501e-15,-1.1669380457525307,0.0,32.32681214049221,0.04775575038108926,94298.98975629765,307.0814057482114
