,bearing,carriages,current_status,current_stop_sequence,direction_id,label,latitude,longitude,occupancy_status,revenue,speed,updated_at
y0765,17.0,[],STOPPED_AT,1.0,1.0,0765,42.27519057,-71.01192546,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y3335,180.0,[],STOPPED_AT,47.0,1.0,3335,42.40975,-71.00197,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:15-04:00
y1706,0.0,[],IN_TRANSIT_TO,30.0,1.0,1706,42.30253193,-71.11442146,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:38-04:00
y2021,140.0,[],STOPPED_AT,20.0,1.0,2021,42.37235054,-71.099056919,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y0868,198.0,[],STOPPED_AT,1.0,0.0,0868,42.40017839,-71.08341022,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:38-04:00
y2032,135.0,[],STOPPED_AT,1.0,1.0,2032,42.38775,-71.07338,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:20-04:00
y0889,104.0,[],STOPPED_AT,1.0,0.0,0889,42.40265291,-71.07598471,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y3152,30.0,[],STOPPED_AT,17.0,0.0,3152,42.42003848,-71.0441674,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y2053,135.0,[],STOPPED_AT,1.0,1.0,2053,42.40604,-71.13244,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:32-04:00
y1629,227.0,[],IN_TRANSIT_TO,27.0,0.0,1629,42.28647995,-71.16676243,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1939,135.0,[],STOPPED_AT,1.0,1.0,1939,42.38178,-71.26188,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:04-04:00
1820,,[],IN_TRANSIT_TO,130.0,1.0,1820,42.34967803955078,-71.05599975585938,,REVENUE,4.0,2024-05-23T14:25:07-04:00
y1698,0.0,[],STOPPED_AT,5.0,0.0,1698,42.2917325,-71.12265752,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y0846,165.0,[],IN_TRANSIT_TO,14.0,0.0,0846,42.390967269,-71.03743808,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y1865,358.0,[],STOPPED_AT,41.0,0.0,1865,42.32099951,-71.05202725,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y0829,247.0,[],IN_TRANSIT_TO,29.0,1.0,0829,42.21101333,-70.9947386,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y3349,330.0,[],STOPPED_AT,7.0,0.0,3349,42.38882007,-71.03807969,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y3243,355.0,[],STOPPED_AT,27.0,0.0,3243,42.33625202,-71.02509181,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1783,0.0,[],STOPPED_AT,1.0,0.0,1783,42.32989724,-71.08356992,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:24:16-04:00
y1807,159.0,[],IN_TRANSIT_TO,2.0,0.0,1807,42.34258498,-71.05730022,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y1705,5.0,[],IN_TRANSIT_TO,6.0,1.0,1705,42.27717273,-71.09330566,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
G-10068,225.0,"[{'label': '3920', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3909', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,450.0,0.0,3920-3909,42.34523,-71.10461,,REVENUE,2.9,2024-05-23T14:24:39-04:00
y1999,0.0,[],IN_TRANSIT_TO,25.0,0.0,1999,42.36491502,-71.17855353,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
G-10242,125.0,"[{'label': '3706', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3833', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,9.0,0.0,3706-3833,42.37116,-71.07613,,REVENUE,4.3,2024-05-23T14:25:19-04:00
G-10012,135.0,"[{'label': '3877', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3676', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,1.0,1.0,3877-3676,42.34018,-71.16709,,REVENUE,1.4,2024-05-23T14:25:12-04:00
y3127,203.0,[],STOPPED_AT,1.0,0.0,3127,42.37157296,-71.09378891,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1920,220.0,[],IN_TRANSIT_TO,20.0,0.0,1920,42.30885464,-71.08309777,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y2007,95.0,[],IN_TRANSIT_TO,20.0,1.0,2007,42.37444243,-71.12603319,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
