,address,at_street,description,latitude,location_type,longitude,municipality,name,on_street,platform_code,platform_name,vehicle_type,wheelchair_boarding
node-868-lobby,,,Broadway - Bottom of main entrance elevator,42.342573,3,-71.056945,Boston,Broadway,,,,,1
432,,Wentworth Street,,42.288698,0,-71.075474,Boston,Norfolk St @ Darlington St,Norfolk Street,,,3.0,1
node-955-lobby,,,Airport - Bottom of Elevator 955,42.374447,3,-71.030429,Boston,Airport,,,,,1
70502,,,Lechmere - Green Line - Copley & West,42.370989,0,-71.07586,Cambridge,Lechmere,,,Copley & West,0.0,1
6550,,Surface Artery,,42.352188,0,-71.057992,Boston,Lincoln St @ Essex St,Lincoln Street,,,3.0,1
73,,Sidney Street,,42.362804,0,-71.099509,Cambridge,Massachusetts Ave @ Sidney St,Massachusetts Avenue,,,3.0,1
824,,Centre Terrace,,42.273191,0,-71.160805,Boston,Centre St @ Bronx Rd,Centre Street,,,3.0,1
30250,"21 Dry Dock Ave, Boston, MA 02210",Northern Avenue,23 Drydock Ave - Silver Line - SL2 Design Center,42.344649,0,-71.030268,Boston,23 Drydock Ave,Drydock Avenue,,Design Center,3.0,1
node-forhl-upperdoor,,,Forest Hills - Building door for upper busway,42.300465,3,-71.114151,Boston,Forest Hills,,,,,1
7829,,,,42.345523,0,-71.257145,Newton,Commonwealth Ave opp Marriott,Commonwealth Avenue,,,3.0,1
1422,,Windsor Street,,42.372767,0,-71.093143,Cambridge,Cambridge St @ Windsor St,Cambridge Street,,,3.0,1
6155,,Ryan Place,,42.482967,0,-70.911291,Swampscott,Essex St @ Ryan Pl,Essex Street,,,3.0,1
82851,,Page Road,,42.353395,0,-71.208103,Newton,Walnut St @ Page Rd,Walnut Street,,,3.0,1
4674,,Mason Street,,42.526072,0,-70.900508,Salem,North St @ Mason St,North Street,,,3.0,1
1379,,,,42.352418,0,-71.131843,Boston,Harvard Ave @ Brighton Ave,Harvard Avenue,,,3.0,1
