,color,description,direction_destinations,direction_names,fare_class,long_name,short_name,sort_order,text_color,type
34,FFC72C,Local Bus,"['Dedham Square', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Dedham Square - Forest Hills Station,34,50340,0,3
34E,FFC72C,Local Bus,"['Walpole Center', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Walpole Center - Forest Hills Station,34E,50341,0,3
35,FFC72C,Local Bus,"['Dedham Mall or Stimson Street', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Dedham Mall or Stimson Street - Forest Hills Station,35,50350,0,3
36,FFC72C,Local Bus,"['Millennium Park or VA Hospital', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Millennium Park or VA Hospital - Forest Hills Station,36,50360,0,3
37,FFC72C,Local Bus,"['Baker Street & Vermont Street', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Baker Street & Vermont Street - Forest Hills Station,37,50370,0,3
38,FFC72C,Local Bus,"['Wren Street', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Wren Street - Forest Hills Station,38,50380,0,3
39,FFC72C,Key Bus,"['Forest Hills Station', 'Back Bay Station']","['Outbound', 'Inbound']",Local Bus,Forest Hills Station - Back Bay Station,39,50390,0,3
40,FFC72C,Local Bus,"['Georgetowne', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Georgetowne - Forest Hills Station,40,50400,0,3
41,FFC72C,Local Bus,"['Centre Street & Eliot Street', 'JFK/UMass Station']","['Outbound', 'Inbound']",Local Bus,Centre Street & Eliot Street - JFK/UMass Station,41,50410,0,3
42,FFC72C,Local Bus,"['Forest Hills Station', 'Nubian Station']","['Outbound', 'Inbound']",Local Bus,Forest Hills Station - Nubian Station,42,50420,0,3
43,FFC72C,Local Bus,"['Ruggles Station', 'Park Street Station']","['Outbound', 'Inbound']",Local Bus,Ruggles Station - Park Street Station,43,50430,0,3
44,FFC72C,Local Bus,"['Jackson Square Station', 'Ruggles Station']","['Outbound', 'Inbound']",Local Bus,Jackson Square Station - Ruggles Station,44,50440,0,3
45,FFC72C,Local Bus,"['Franklin Park', 'Ruggles Station']","['Outbound', 'Inbound']",Local Bus,Franklin Park - Ruggles Station,45,50450,0,3
47,FFC72C,Local Bus,"['Central Square, Cambridge', 'Broadway Station']","['Outbound', 'Inbound']",Local Bus,"Central Square, Cambridge - Broadway Station",47,50470,0,3
50,FFC72C,Local Bus,"['Cleary Square', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Cleary Square - Forest Hills Station,50,50500,0,3
51,FFC72C,Local Bus,"['Reservoir Station', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Reservoir Station - Forest Hills Station,51,50510,0,3
52,FFC72C,Local Bus,"['Dedham Mall', 'Watertown Yard']","['Outbound', 'Inbound']",Local Bus,Dedham Mall - Watertown Yard,52,50520,0,3
55,FFC72C,Local Bus,"['Fenway', 'Copley Square']","['Outbound', 'Inbound']",Local Bus,Fenway - Copley Square,55,50550,0,3
57,FFC72C,Key Bus,"['Watertown Yard', 'Kenmore Station']","['Outbound', 'Inbound']",Local Bus,Watertown Yard - Kenmore Station,57,50570,0,3
59,FFC72C,Local Bus,"['Needham Junction', 'Watertown Square']","['Outbound', 'Inbound']",Local Bus,Needham Junction - Watertown Square,59,50590,0,3
60,FFC72C,Local Bus,"['Chestnut Hill', 'Kenmore Station']","['Outbound', 'Inbound']",Local Bus,Chestnut Hill - Kenmore Station,60,50600,0,3
61,FFC72C,Local Bus,"['North Waltham', 'Waltham Center']","['Outbound', 'Inbound']",Local Bus,North Waltham - Waltham Center,61,50610,0,3
62,FFC72C,Local Bus,"['Bedford VA Hospital', 'Alewife Station']","['Outbound', 'Inbound']",Local Bus,Bedford VA Hospital - Alewife Station,62,50620,0,3
627,FFC72C,Local Bus,"['Bedford VA Hospital', 'Alewife Station']","['Outbound', 'Inbound']",Local Bus,Bedford VA Hospital - Alewife Station via Hanscom Airport,62/76,50621,0,3
64,FFC72C,Local Bus,"['Oak Square', 'University Park or Kendall/MIT Station']","['Outbound', 'Inbound']",Local Bus,Oak Square - University Park or Kendall/MIT Station,64,50640,0,3
65,FFC72C,Local Bus,"['Brighton Center', 'Kenmore Station']","['Outbound', 'Inbound']",Local Bus,Brighton Center - Kenmore Station,65,50650,0,3
66,FFC72C,Key Bus,"['Harvard Square', 'Nubian Station']","['Outbound', 'Inbound']",Local Bus,Harvard Square - Nubian Station,66,50660,0,3
67,FFC72C,Local Bus,"['Turkey Hill', 'Alewife Station']","['Outbound', 'Inbound']",Local Bus,Turkey Hill - Alewife Station,67,50670,0,3
68,FFC72C,Local Bus,"['Harvard Square', 'Kendall/MIT Station']","['Outbound', 'Inbound']",Local Bus,Harvard Square - Kendall/MIT Station,68,50680,0,3
69,FFC72C,Local Bus,"['Harvard Square', 'Lechmere Station']","['Outbound', 'Inbound']",Local Bus,Harvard Square - Lechmere Station,69,50690,0,3
70,FFC72C,Local Bus,"['Market Place Drive or Waltham Center', 'University Park']","['Outbound', 'Inbound']",Local Bus,Market Place Drive or Waltham Center - University Park,70,50700,0,3
71,FFC72C,Key Bus,"['Watertown Square', 'Harvard Station']","['Outbound', 'Inbound']",Local Bus,Watertown Square - Harvard Station,71,50710,0,3
73,FFC72C,Key Bus,"['Waverley Square', 'Harvard Station']","['Outbound', 'Inbound']",Local Bus,Waverley Square - Harvard Station,73,50730,0,3
74,FFC72C,Local Bus,"['Belmont Center', 'Harvard']","['Outbound', 'Inbound']",Local Bus,Belmont Center - Harvard via Concord Avenue,74,50740,0,3
75,FFC72C,Local Bus,"['Belmont Center', 'Harvard']","['Outbound', 'Inbound']",Local Bus,Belmont Center - Harvard via Huron Avenue,75,50750,0,3
76,FFC72C,Local Bus,"['Lincoln Lab', 'Alewife Station']","['Outbound', 'Inbound']",Local Bus,Lincoln Lab - Alewife Station,76,50760,0,3
77,FFC72C,Key Bus,"['Arlington Heights', 'Harvard Station']","['Outbound', 'Inbound']",Local Bus,Arlington Heights - Harvard Station,77,50770,0,3
78,FFC72C,Local Bus,"['Arlmont Village', 'Harvard Station']","['Outbound', 'Inbound']",Local Bus,Arlmont Village - Harvard Station,78,50780,0,3
80,FFC72C,Local Bus,"['Arlington Center', 'Lechmere Station']","['Outbound', 'Inbound']",Local Bus,Arlington Center - Lechmere Station,80,50800,0,3
83,FFC72C,Local Bus,"['Rindge Avenue', 'Central Square, Cambridge']","['Outbound', 'Inbound']",Local Bus,"Rindge Avenue - Central Square, Cambridge",83,50830,0,3
85,FFC72C,Local Bus,"['Spring Hill', 'Kendall/MIT Station']","['Outbound', 'Inbound']",Local Bus,Spring Hill - Kendall/MIT Station,85,50850,0,3
86,FFC72C,Local Bus,"['Sullivan Square Station', 'Reservoir Station']","['Outbound', 'Inbound']",Local Bus,Sullivan Square Station - Reservoir Station,86,50860,0,3
87,FFC72C,Local Bus,"['Clarendon Hill or Arlington Center', 'Lechmere Station']","['Outbound', 'Inbound']",Local Bus,Clarendon Hill or Arlington Center - Lechmere Station,87,50870,0,3
88,FFC72C,Local Bus,"['Clarendon Hill', 'Lechmere Station']","['Outbound', 'Inbound']",Local Bus,Clarendon Hill - Lechmere Station,88,50880,0,3
89,FFC72C,Local Bus,"['Clarendon Hill or Davis Station', 'Sullivan Square Station']","['Outbound', 'Inbound']",Local Bus,Clarendon Hill or Davis Station - Sullivan Square Station,89,50890,0,3
90,FFC72C,Local Bus,"['Davis Station', 'Assembly Row']","['Outbound', 'Inbound']",Local Bus,Davis Station - Assembly Row,90,50900,0,3
91,FFC72C,Local Bus,"['Sullivan Square Station', 'Central Square, Cambridge']","['Outbound', 'Inbound']",Local Bus,"Sullivan Square Station - Central Square, Cambridge",91,50910,0,3
92,FFC72C,Local Bus,"['Sullivan Square Station', 'Downtown']","['Outbound', 'Inbound']",Local Bus,Sullivan Square Station - Downtown via Main Street,92,50920,0,3
93,FFC72C,Local Bus,"['Sullivan Square Station', 'Downtown']","['Outbound', 'Inbound']",Local Bus,Sullivan Square Station - Downtown via Bunker Hill Street,93,50930,0,3
94,FFC72C,Local Bus,"['Medford Square', 'Davis Station']","['Outbound', 'Inbound']",Local Bus,Medford Square - Davis Station,94,50940,0,3
95,FFC72C,Local Bus,"['West Medford or Arlington Center', 'Sullivan Square Station']","['Outbound', 'Inbound']",Local Bus,West Medford or Arlington Center - Sullivan Square Station,95,50950,0,3
96,FFC72C,Local Bus,"['Medford Square', 'Harvard Station']","['Outbound', 'Inbound']",Local Bus,Medford Square - Harvard Station,96,50960,0,3
97,FFC72C,Local Bus,"['Malden Center Station', 'Wellington Station']","['Outbound', 'Inbound']",Local Bus,Malden Center Station - Wellington Station,97,50970,0,3
99,FFC72C,Local Bus,"['Woodland Road', 'Wellington Station']","['Outbound', 'Inbound']",Local Bus,Woodland Road - Wellington Station,99,50990,0,3
100,FFC72C,Local Bus,"['Elm Street', 'Wellington Station']","['Outbound', 'Inbound']",Local Bus,Elm Street - Wellington Station,100,51000,0,3
101,FFC72C,Local Bus,"['Malden Center Station', 'Sullivan Square Station']","['Outbound', 'Inbound']",Local Bus,Malden Center Station - Sullivan Square Station via Winter Hill,101,51010,0,3
104,FFC72C,Local Bus,"['Malden Center Station', 'Sullivan Square Station']","['Outbound', 'Inbound']",Local Bus,Malden Center Station - Sullivan Square Station via Ferry Street,104,51040,0,3
105,FFC72C,Local Bus,"['Malden Center Station', 'Sullivan Square Station']","['Outbound', 'Inbound']",Local Bus,Malden Center Station - Sullivan Square Station via Newland Street Housing,105,51050,0,3
106,FFC72C,Local Bus,"['Lebanon Loop', 'Wellington Station']","['Outbound', 'Inbound']",Local Bus,Lebanon Loop - Wellington Station,106,51060,0,3
108,FFC72C,Local Bus,"['Linden Square', 'Wellington Station']","['Outbound', 'Inbound']",Local Bus,Linden Square - Wellington Station,108,51080,0,3
109,FFC72C,Local Bus,"['Linden Square', 'Sullivan Square Station']","['Outbound', 'Inbound']",Local Bus,Linden Square - Sullivan Square Station,109,51090,0,3
110,FFC72C,Local Bus,"['Wonderland Station', 'Wellington Station']","['Outbound', 'Inbound']",Local Bus,Wonderland Station - Wellington Station,110,51100,0,3
111,FFC72C,Key Bus,"['Woodlawn', 'Haymarket Station']","['Outbound', 'Inbound']",Local Bus,Woodlawn - Haymarket Station,111,51110,0,3
112,FFC72C,Local Bus,"['Wellington Station', 'Wood Island Station']","['Outbound', 'Inbound']",Local Bus,Wellington Station - Wood Island Station,112,51120,0,3
114,FFC72C,Community Bus,"['Market Basket', 'Maverick Station']","['Outbound', 'Inbound']",Local Bus,Market Basket - Maverick Station,114,51140,0,3
116,FFC72C,Key Bus,"['Wonderland Station', 'Maverick Station']","['Outbound', 'Inbound']",Local Bus,Wonderland Station - Maverick Station via Revere Street,116,51160,0,3
117,FFC72C,Key Bus,"['Wonderland Station', 'Maverick Station']","['Outbound', 'Inbound']",Local Bus,Wonderland Station - Maverick Station via Beach Street,117,51170,0,3
119,FFC72C,Local Bus,"['Northgate Shopping Center', 'Beachmont Station']","['Outbound', 'Inbound']",Local Bus,Northgate Shopping Center - Beachmont Station,119,51190,0,3
120,FFC72C,Local Bus,"['Orient Heights Station', 'Jeffries Point']","['Outbound', 'Inbound']",Local Bus,Orient Heights Station - Jeffries Point,120,51200,0,3
121,FFC72C,Commuter Bus,"['Wood Island Station', 'Maverick Station']","['Outbound', 'Inbound']",Local Bus,Wood Island Station - Maverick Station,121,51210,0,3
131,FFC72C,Commuter Bus,"['Melrose Highlands', 'Malden Center Station']","['Outbound', 'Inbound']",Local Bus,Melrose Highlands - Malden Center Station,131,51310,0,3
132,FFC72C,Local Bus,"['Redstone Shopping Center', 'Malden Center Station']","['Outbound', 'Inbound']",Local Bus,Redstone Shopping Center - Malden Center Station,132,51320,0,3
134,FFC72C,Local Bus,"['North Woburn', 'Wellington Station']","['Outbound', 'Inbound']",Local Bus,North Woburn - Wellington Station,134,51340,0,3
137,FFC72C,Local Bus,"['Reading Depot', 'Malden Center Station']","['Outbound', 'Inbound']",Local Bus,Reading Depot - Malden Center Station,137,51370,0,3
171,FFC72C,Supplemental Bus,"['Logan Airport Terminals', 'Nubian Station']","['Outbound', 'Inbound']",Local Bus,Logan Airport Terminals - Nubian Station,171,51710,0,3
201,FFC72C,Local Bus,"['Fields Corner Loop', 'Fields Corner Loop']","['Outbound', 'Inbound']",Local Bus,Fields Corner Loop via Neponset Ave,201,52010,0,3
202,FFC72C,Local Bus,"['Fields Corner Loop', 'Fields Corner Loop']","['Outbound', 'Inbound']",Local Bus,Fields Corner Loop via Adams Street,202,52020,0,3
210,FFC72C,Local Bus,"['Quincy Center Station', 'Fields Corner Station']","['Outbound', 'Inbound']",Local Bus,Quincy Center Station - Fields Corner Station,210,52100,0,3
211,FFC72C,Local Bus,"['Quincy Center Station', 'Squantum']","['Outbound', 'Inbound']",Local Bus,Quincy Center Station - Squantum,211,52110,0,3
215,FFC72C,Local Bus,"['Quincy Center Station', 'Ashmont Station']","['Outbound', 'Inbound']",Local Bus,Quincy Center Station - Ashmont Station via West Quincy,215,52150,0,3
216,FFC72C,Local Bus,"['Houghs Neck', 'Quincy Center Station']","['Outbound', 'Inbound']",Local Bus,Houghs Neck - Quincy Center Station via Germantown,216,52160,0,3
217,FFC72C,Commuter Bus,"['Quincy Center Station', 'Ashmont Station']","['Outbound', 'Inbound']",Local Bus,Quincy Center Station - Ashmont Station via Wollaston Station,217,52170,0,3
220,FFC72C,Local Bus,"['Hingham Depot', 'Quincy Center Station']","['Outbound', 'Inbound']",Local Bus,Hingham Depot - Quincy Center Station,220,52200,0,3
222,FFC72C,Local Bus,"['East Weymouth', 'Quincy Center Station']","['Outbound', 'Inbound']",Local Bus,East Weymouth - Quincy Center Station,222,52220,0,3
225,FFC72C,Local Bus,"['Weymouth Landing', 'Quincy Center Station']","['Outbound', 'Inbound']",Local Bus,Weymouth Landing - Quincy Center Station,225,52250,0,3
226,FFC72C,Local Bus,"['Columbian Square', 'Braintree Station']","['Outbound', 'Inbound']",Local Bus,Columbian Square - Braintree Station,226,52260,0,3
230,FFC72C,Local Bus,"['Montello Station', 'Quincy Center Station']","['Outbound', 'Inbound']",Local Bus,Montello Station - Quincy Center Station,230,52300,0,3
236,FFC72C,Local Bus,"['South Shore Plaza', 'Quincy Center Station']","['Outbound', 'Inbound']",Local Bus,South Shore Plaza - Quincy Center Station,236,52360,0,3
238,FFC72C,Local Bus,"['Holbrook/Randolph Station', 'Quincy Center Station']","['Outbound', 'Inbound']",Local Bus,Holbrook/Randolph Station - Quincy Center Station,238,52380,0,3
240,FFC72C,Local Bus,"['Avon Square', 'Ashmont Station']","['Outbound', 'Inbound']",Local Bus,Avon Square - Ashmont Station,240,52400,0,3
245,FFC72C,Local Bus,"['Quincy Center Station', 'Mattapan Station']","['Outbound', 'Inbound']",Local Bus,Quincy Center Station - Mattapan Station,245,52450,0,3
350,FFC72C,Local Bus,"['North Burlington', 'Alewife Station']","['Outbound', 'Inbound']",Local Bus,North Burlington - Alewife Station,350,53500,0,3
351,FFC72C,Commuter Bus,"['Bedford Woods Drive', 'Third Avenue']","['Outbound', 'Inbound']",Local Bus,Bedford Woods Drive - Third Avenue,351,53510,0,3
354,FFC72C,Commuter Bus,"['North Burlington', 'State Street, Boston']","['Outbound', 'Inbound']",Inner Express,"North Burlington - State Street, Boston",354,53540,0,3
411,FFC72C,Local Bus,"['Kennedy Drive or Jack Satter House', 'Malden Center Station']","['Outbound', 'Inbound']",Local Bus,Kennedy Drive or Jack Satter House - Malden Center Station,411,54110,0,3
424,FFC72C,Commuter Bus,"['Eastern Avenue & Essex Street', 'Wonderland Station']","['Outbound', 'Inbound']",Local Bus,Eastern Avenue & Essex Street - Wonderland Station,424,54240,0,3
426,FFC72C,Local Bus,"['Central Square, Lynn', 'Haymarket or Wonderland Station']","['Outbound', 'Inbound']",Inner Express,"Central Square, Lynn - Haymarket or Wonderland Station",426,54260,0,3
428,FFC72C,Commuter Bus,"['Oaklandvale', 'Haymarket Station']","['Outbound', 'Inbound']",Inner Express,Oaklandvale - Haymarket Station,428,54280,0,3
429,FFC72C,Local Bus,"['Northgate Shopping Center', 'Central Square, Lynn']","['Outbound', 'Inbound']",Local Bus,"Northgate Shopping Center - Central Square, Lynn",429,54290,0,3
430,FFC72C,Local Bus,"['Saugus Center', 'Malden Center Station']","['Outbound', 'Inbound']",Local Bus,Saugus Center - Malden Center Station,430,54300,0,3
435,FFC72C,Local Bus,"['Liberty Tree Mall', 'Central Square, Lynn']","['Outbound', 'Inbound']",Local Bus,"Liberty Tree Mall - Central Square, Lynn via Peabody Square",435,54350,0,3
436,FFC72C,Local Bus,"['Liberty Tree Mall', 'Central Square, Lynn']","['Outbound', 'Inbound']",Local Bus,"Liberty Tree Mall - Central Square, Lynn via Goodwin Circle",436,54360,0,3
439,FFC72C,Commuter Bus,"['Nahant', 'Wonderland Station']","['Outbound', 'Inbound']",Local Bus,Nahant - Wonderland Station,439,54390,0,3
441,FFC72C,Local Bus,"['Marblehead', 'Wonderland Station']","['Outbound', 'Inbound']",Local Bus,Marblehead - Wonderland Station via Paradise Road,441,54410,0,3
442,FFC72C,Local Bus,"['Marblehead', 'Wonderland Station']","['Outbound', 'Inbound']",Local Bus,Marblehead - Wonderland Station via Humphrey Street,442,54420,0,3
450,FFC72C,Local Bus,"['Salem Depot', 'Wonderland or Haymarket Station']","['Outbound', 'Inbound']",Inner Express,Salem Depot - Wonderland or Haymarket Station,450,54500,0,3
451,FFC72C,Commuter Bus,"['North Beverly Station', 'Salem Depot']","['Outbound', 'Inbound']",Local Bus,North Beverly Station - Salem Depot,451,54510,0,3
455,FFC72C,Local Bus,"['Salem Depot', 'Wonderland Station']","['Outbound', 'Inbound']",Local Bus,Salem Depot - Wonderland Station,455,54550,0,3
456,FFC72C,Local Bus,"['Salem Depot', 'Central Square, Lynn']","['Outbound', 'Inbound']",Local Bus,"Salem Depot - Central Square, Lynn",456,54560,0,3
501,FFC72C,Commuter Bus,"['Brighton Center', 'Federal Street & Franklin Street']","['Outbound', 'Inbound']",Inner Express,Brighton Center - Federal Street & Franklin Street,501,55010,0,3
